ID,Latitud,Longitud,Altitud
6196,-11.880944,-76.995881,423.3429
6231,-11.880819,-76.998886,386.506
6194,-11.880944,-76.995881,424.3003
6229,-11.880825,-76.998878,386.4925
6209,-11.880792,-76.996917,408.7113
6206,-11.880831,-76.99665,411.7348
6212,-11.880781,-76.997131,409.717
6207,-11.880814,-76.996733,410.7188
6227,-11.880817,-76.998886,387.0105
6203,-11.880875,-76.996025,421.9092
6193,-11.880969,-76.995881,425.5753
6198,-11.880919,-76.995872,422.4003
6215,-11.880783,-76.997697,402.4216
6202,-11.880867,-76.995972,416.3896
6208,-11.880814,-76.99675,411.2621
6197,-11.880944,-76.995881,423.3444
6213,-11.881647,-76.997514,410.1651
6210,-11.880772,-76.997094,410.6044
6228,-11.880819,-76.998886,386.4474
6192,-11.880969,-76.995881,426.0192
6205,-11.880836,-76.996606,412.3099
6201,-11.880864,-76.995981,416.3249
6236,-11.881006,-76.999297,381.1301
6195,-11.880944,-76.995881,423.7073
6211,-11.880778,-76.997117,409.7001
