ID,Latitud,Longitud,Elevación Elipsoidal (m),Este (m),Norte (m),Huso,X (m),Y (m),Z (m)
6196,-11.880944,-76.995881,423.343,282594.813102,8685831.517806,18,702527.299745,-3041982.301366,-652438.348126
6231,-11.880819,-76.998886,386.506,282267.265999,8685842.996605,18,702359.964049,-3041985.397265,-652423.994741
6194,-11.880944,-76.995881,424.3,282594.813102,8685831.517806,18,702527.510477,-3041983.213848,-652438.545152
6229,-11.880825,-76.998878,386.493,282268.142511,8685842.339034,18,702360.370652,-3041985.220642,-652424.316997
6209,-11.880792,-76.996917,408.711,282481.80198,8685847.524776,18,702469.461007,-3041982.728351,-652427.104024
6206,-11.880831,-76.99665,411.735,282510.927314,8685843.418689,18,702484.203268,-3041981.90809,-652429.838672
6212,-11.880781,-76.997131,409.717,282458.474162,8685848.574406,18,702458.348693,-3041986.432555,-652426.715421
6207,-11.880814,-76.996733,410.719,282501.8695,8685845.234637,18,702479.61616,-3041982.144433,-652428.708852
6227,-11.880817,-76.998886,387.011,282267.264409,8685843.217883,18,702360.080317,-3041985.900832,-652423.990398
6203,-11.880875,-76.996025,421.909,282579.067,8685839.039311,18,702519.514352,-3041983.460548,-652434.316129
6193,-11.880969,-76.995881,425.575,282594.832947,8685828.751833,18,702527.727569,-3041984.153868,-652440.161549
6198,-11.880919,-76.995872,422.4,282595.773965,8685834.290816,18,702527.633593,-3041981.567548,-652436.800081
6215,-11.880783,-76.997697,402.422,282396.800034,8685847.910291,18,702426.686966,-3041986.393936,-652425.321867
6202,-11.880867,-76.995972,416.39,282584.835931,8685839.96586,18,702521.133354,-3041977.636648,-652432.746643
6208,-11.880814,-76.99675,411.262,282500.01705,8685845.22134,18,702478.833146,-3041982.870605,-652428.820643
6197,-11.880944,-76.995881,423.344,282594.813102,8685831.517806,18,702527.299965,-3041982.30232,-652438.348332
6213,-11.881647,-76.997514,410.165,282417.427545,8685752.461344,18,702435.907741,-3041982.005959,-652473.706557
6210,-11.880772,-76.997094,410.604,282462.498817,8685849.599101,18,702460.531338,-3041986.923908,-652426.41063
6228,-11.880819,-76.998886,386.447,282267.265999,8685842.996605,18,702359.95106,-3041985.341009,-652423.982594
6192,-11.880969,-76.995881,426.019,282594.832947,8685828.751833,18,702527.825338,-3041984.577213,-652440.25296
6205,-11.880836,-76.996606,412.31,282515.72586,8685842.899906,18,702486.653218,-3041981.861741,-652430.227831
6201,-11.880864,-76.995981,416.325,282583.852841,8685840.29074,18,702520.648848,-3041977.718103,-652432.570793
6236,-11.881006,-76.999297,381.13,282222.628934,8685821.985246,18,702336.48338,-3041983.247455,-652433.014997
6195,-11.880944,-76.995881,423.707,282594.813102,8685831.517806,18,702527.379898,-3041982.648433,-652438.423066
6211,-11.880778,-76.997117,409.7,282459.997326,8685848.917275,18,702459.095886,-3041986.277783,-652426.549453
